Survey::Survey_Date,Outfall_ID,E. coli at 100ml,Air Temp,Alkalinity,Arrival_Time,Bac Notes,Color,Cond Exceed Tot,Conductivity,Copper,Copper Exceed Tot,DO,DO Exceedance Tot,E. coli Exceed Tot,Enterococcus at 100ml,Flouride,Flow_Rate,Genl_outfall_notes,Hardness,Hydrogen Sulfide,Iron,Lead,Lead Exceed Tot,Manganese,Mercury,Nitrate,Nitrite,Odor,pH,pH Exceed Tot,QCQA,Salinity,Sample Vol ML,Sodium Chloride,Survey_nbr,Temp Exceed Tot,Temp_Difference,Total Chlorine,TotalCount,Turbidity,Turbidity Exceed Tot,UniqueCount,Vis_Notes,Visual,Water Temp,WQ_Notes,YSI Dupe,Zinc,Survey::City
06/15/2022,Broadway St,240,19.1,,,,0,164,329.3,,8,9.89,30,126,,,Present,,,,,,0,,,,,0,7.37,0,YES,0.16,,,BEL220615,175,-4.8,,565,9,6,1.362068966,,0,14.3,,NO,,Bellingham
07/26/2022,Broadway St,0,23.1,,,,1,164,425,,8,9.85,30,126,,,Present,,,,,,0,,,,,0,7.39,0,YES,0.2,,,BEL220726,175,-5.5,,565,9,6,1.379310345,,0,17.6,,NO,,Bellingham
07/26/2022,Broadway St,60,23.1,,,,1,164,428.8,,8,9.67,30,126,,,Present,,,,,,0,,,,,0,7.29,0,YES,0.21,,,BEL220726,175,-5.6,,565,9,6,1.396551724,,0,17.5,,NO,,Bellingham
08/15/2022,Broadway St,1380,23.3,,,,0,164,600,,8,9.37,30,126,,,Present,,,,,,0,,,,,0,7.73,0,YES,0.29,,,BEL220815,175,-5.3,,565,9,6,1.413793103,,0,18,,NO,,Bellingham
09/06/2022,Broadway St,0,14.6,,,,0,164,501.1,,8,6.94,30,126,,,Present,,,,,,0,,,,,0,7.7,0,YES,0.24,,,BEL220906,175,2.5,,565,9,6,1.431034483,,0,17.1,,NO,,Bellingham
10/04/2022,Broadway St,100,13,,,,0,164,446.3,,8,9.33,30,126,,,Present,,,,,,0,,,,,0,7.76,0,YES,0.22,,,BEL221004,175,3.1,,565,9,6,1.448275862,,0,16.1,,NO,,Bellingham
11/07/2022,Broadway St,1900,1.1,,,,0,164,290.7,,8,10.42,30,126,,,Present,,,,,,0,,,,,0,8.29,0,YES,0.14,,,BEL221107,175,11.5,,565,9,6,1.465517241,,0,12.6,,NO,,Bellingham
12/05/2022,Broadway St,68,5.8,,,,0,164,402.5,,8,11.43,30,126,,,Present,,,,,,0,,,,,0,6.94,0,YES,0.19,,,BEL221205,175,3.6,,565,9,6,1.482758621,,0,9.4,,NO,,Bellingham
01/03/2023,Broadway St,50,4.8,,,,0,164,322.6,,8,11.43,30,126,,,Present,,,,,,0,,,,,0,7.58,0,YES,0.15,,,BEL230103,175,3.9,,565,9,6,1.5,,0,8.7,,NO,,Bellingham
02/15/2023,Broadway St,6,6.7,,,,0,164,318.7,,8,12.41,30,126,,,Present,,,,,,0,,,,,0,7.35,0,YES,0.15,,,BEL230215,175,2,,565,9,6,1.517241379,,1,8.7,,NO,,Bellingham
03/14/2023,Broadway St,200,10,,,,1,164,279.5,,8,12.46,30,126,,,Present,,,,,,0,,,,,0,6.57,0,YES,0.13,,,BEL230314,175,-1.4,,565,9,6,1.534482759,,0,8.6,,NO,,Bellingham
04/12/2023,Broadway St,25,8,,,,1,164,230.9,,8,11.26,30,126,,,Present,,,,,,0,,,,,0,7.46,0,YES,0.11,,,BEL230412,175,2.1,,565,9,6,1.551724138,,0,10.1,,NO,,Bellingham
